2015-07-03 01:05:43 67.213.118.194  browse   danmaku.us . "" "=Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.16 (KHTML, like Gecko) Chrome/10.0.648.204 Safari/534.16"
2015-07-03 09:33:45 46.229.164.100  edit     danmaku.us Bilibili2.1096 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:39:30 66.249.65.172   browse   danmaku.us Acfun2.1014 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 09:39:58 46.229.164.98   browse   danmaku.us Acfun2.1114 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:42:43 46.229.164.98   login    danmaku.us Acfun2.1009 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:48:47 46.229.164.102  edit     danmaku.us Bilibili2.1042 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 09:53:27 220.181.108.153 browse   danmaku.us Acfun2.1204 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 09:54:43 46.229.164.101  print    danmaku.us Acfun2.1142 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 10:05:13 46.229.164.101  browse   danmaku.us Acfun2.1206 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 10:43:31 46.229.164.100  browse   danmaku.us Acfun2.1152 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 10:44:15 2001:da8:214:1064:6410:4b:5e64:2e6 browse   danmaku.us Main.HomePage "http://bbs.colg.cn/thread-3725026-1-1.html" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 10:44:30 2001:da8:214:1064:6410:4b:5e64:2e6 browse   danmaku.us Bilibili2.HomePage "http://danmaku.us/Main/HomePage" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 10:44:36 2001:da8:214:1064:6410:4b:5e64:2e6 browse   danmaku.us Bilibili2.1106 "http://danmaku.us/Bilibili2/HomePage" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko"
2015-07-03 10:50:13 119.113.193.146 browse   danmaku.us . "https://www.baidu.com/link?url=YJEM-W59aow_E8eM-pCXgcwJrZRTAub2NXZjWu0C1v3&wd=&eqid=e8fef36c00003113000000025595f85d" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.154 Safari/537.36 LBBROWSER"
2015-07-03 10:52:39 46.229.164.98   edit     danmaku.us Acfun2.1163 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 10:55:16 66.249.65.158   browse   danmaku.us Acfun2.1023 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 11:01:27 46.229.164.98   diff     danmaku.us Acfun2.1187 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:05:25 46.229.164.100  login    danmaku.us Acfun2.1023 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:10:49 46.229.164.100  browse   danmaku.us Acfun2.1196 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:14:57 46.229.164.101  print    danmaku.us Profiles.Nekofs "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:20:03 46.229.164.100  edit     danmaku.us Acfun2.1002 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:22:09 182.139.188.246 browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)"
2015-07-03 11:22:09 182.139.188.246 browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)"
2015-07-03 11:24:51 46.229.164.98   browse   danmaku.us Acfun2.1194 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:29:55 46.229.164.100  browse   danmaku.us Acfun2.1208 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:34:56 46.229.164.101  login    danmaku.us Bilibili2.1044 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:39:22 46.229.164.98   diff     danmaku.us Acfun2.1188 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:41:19 59.33.68.203    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:41:19 59.33.68.203    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:41:21 59.33.68.203    browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:41:22 59.33.68.203    browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:41:22 59.33.68.203    browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:41:23 59.33.68.203    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:41:24 59.33.68.203    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 11:42:53 46.229.164.102  browse   danmaku.us Acfun2.1116 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:43:52 115.153.148.86  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-07-03 11:43:53 115.153.148.86  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)"
2015-07-03 11:46:40 46.229.164.101  login    danmaku.us Acfun2.1204 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:51:04 46.229.164.101  login    danmaku.us Acfun2.1196 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:54:04 46.229.164.99   diff     danmaku.us Bilibili2.1010 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 11:58:22 46.229.164.100  print    danmaku.us Acfun2.1111 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:01:43 123.150.183.40  browse   danmaku.us Bilibili2.1102 "" "Mozilla/5.0 (Linux; U; Android 4.3; zh-CN; SCH-N719 Build/JSS15J) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 UCBrowser/9.9.5.489 U3/0.8.0 Mobile Safari/533.1"
2015-07-03 12:04:04 46.229.164.102  browse   danmaku.us Acfun2.1118 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:05:42 46.229.164.99   browse   danmaku.us Acfun2.1183 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:11:03 66.249.65.172   browse   danmaku.us Acfun2.1153 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 12:12:19 46.229.164.99   browse   danmaku.us Acfun2.1206 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:16:14 46.229.164.101  diff     danmaku.us Acfun2.1131 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:23:30 46.229.164.101  login    danmaku.us Acfun2.1070 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:25:31 220.181.108.83  browse   danmaku.us Acfun2.1131 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 12:30:36 46.229.164.101  diff     danmaku.us Main.WikiSandbox3 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:38:38 220.181.38.164  browse   direct.danmaku.us Bilibili2.1038 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 12:41:26 46.229.164.99   diff     danmaku.us Acfun2.1050 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 12:58:18 46.229.164.99   edit     danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:09:41 46.229.164.98   browse   danmaku.us Acfun2.1145 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:17:32 46.229.164.98   browse   danmaku.us Acfun2.1055 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:25:09 46.229.164.102  login    danmaku.us Bilibili2.1017 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:26:50 66.249.65.179   browse   danmaku.us Acfun2.1174 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 13:33:02 46.229.164.102  edit     danmaku.us Main.H263Encoding "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:35:33 46.229.164.100  browse   danmaku.us Acfun2.1139 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:39:50 46.229.164.98   browse   danmaku.us PmWiki.PathVariables "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:45:10 46.229.164.98   login    danmaku.us Acfun2.1135 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:49:06 46.229.164.101  edit     danmaku.us Acfun2.1086 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:53:37 46.229.164.100  diff     danmaku.us Acfun2.1062 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 13:54:40 61.64.181.206   browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 13:54:40 61.64.181.206   browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; BTRS124759; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)"
2015-07-03 13:54:58 112.14.87.45    browse   danmaku.us Bilibili2.1022 "http://tieba.baidu.com/mo/q/checkurl?url=http%3A%2F%2Fdanmaku.us%2FBilibili2%2F1022" "Mozilla/5.0 (Linux; U; Android 4.1.2; zh-cn; MI 1S Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 XiaoMi/MiuiBrowser/1.0"
2015-07-03 14:00:28 46.229.164.102  print    danmaku.us Twodland1.1000 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:03:17 46.229.164.101  edit     danmaku.us Acfun2.1089 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:05:02 123.125.71.14   browse   danmaku.us Acfun2.1189 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 14:07:19 46.229.164.99   browse   danmaku.us Acfun2.1190 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:10:56 46.229.164.99   diff     danmaku.us Acfun2.1103 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:14:01 46.229.164.101  browse   danmaku.us Acfun2.1082 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:19:21 46.229.164.102  diff     danmaku.us Category.黑屏 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:21:26 46.229.164.98   edit     danmaku.us Main.FNQ "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:25:51 46.229.164.98   browse   danmaku.us Acfun2.1001 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:28:48 46.229.164.98   print    danmaku.us Bilibili2.1033 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:32:57 46.229.164.98   diff     danmaku.us Bilibili2.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:36:39 46.229.164.102  login    danmaku.us Bilibili2.1038 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:40:48 46.229.164.101  login    danmaku.us Main.WikiSandbox3 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:42:37 66.249.65.158   browse   danmaku.us Acfun2.1130 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 14:46:40 46.229.164.101  browse   danmaku.us Acfun2.1118 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 14:50:41 111.175.198.246 browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
2015-07-03 14:50:41 111.175.198.246 browse   danmaku.us Main.HomePage "http://danmaku.us/Main/Retake" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
2015-07-03 14:52:50 46.229.164.101  edit     danmaku.us Bilibili2.1111 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:01:56 46.229.164.101  browse   danmaku.us Acfun2.1106 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:08:41 220.181.38.240  edit     direct.danmaku.us Site.SideBar "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 15:15:47 46.229.164.99   login    danmaku.us Acfun2.1080 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:32:12 46.229.164.99   print    danmaku.us Category.娱乐 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:39:31 46.229.164.98   browse   danmaku.us Acfun2.1138 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:48:02 46.229.164.98   login    danmaku.us Bilibili2.1101 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:49:22 180.76.15.155   browse   danmaku.us Bilibili2.1018 "" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
2015-07-03 15:54:24 59.33.68.216    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:54:28 59.33.68.216    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:54:34 59.33.68.216    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:54:35 59.33.68.216    browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:54:37 59.33.68.216    browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:54:38 59.33.68.216    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:54:39 59.33.68.216    browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; Tablet PC 2.0; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; LCJB)"
2015-07-03 15:55:17 46.229.164.100  browse   danmaku.us Main.Talk "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 15:58:25 66.249.65.144   browse   danmaku.us Acfun2.1028 "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 16:00:58 46.229.164.98   diff     danmaku.us Site.RecentChanges "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:04:35 46.229.164.98   browse   danmaku.us Acfun2.1053 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:08:50 46.229.164.101  login    danmaku.us PmWiki.PageLists "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:15:20 46.229.164.98   browse   danmaku.us Acfun2.1185 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:17:25 46.229.164.100  print    danmaku.us Bilibili2.1060 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:21:41 46.229.164.102  edit     danmaku.us Acfun2.1185 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:26:17 46.229.164.101  browse   danmaku.us Acfun2.1079 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:27:02 66.249.65.158   browse   danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
2015-07-03 16:30:39 46.229.164.101  edit     danmaku.us Main.HomePage "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:33:35 203.88.171.173  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2015-07-03 16:33:35 203.88.171.173  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2015-07-03 16:34:47 46.229.164.100  diff     danmaku.us Acfun2.1161 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:35:58 120.82.140.144  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2015-07-03 16:35:58 120.82.140.144  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)"
2015-07-03 16:37:24 46.229.164.101  browse   danmaku.us Bilibili2.1058 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:40:43 46.229.164.100  login    danmaku.us Acfun2.1075 "" "Mozilla/5.0 (compatible; SemrushBot/0.98~bl; +http://www.semrush.com/bot.html)"
2015-07-03 16:42:35 42.120.160.109  browse   danmaku.us Bilibili2.1102 "" "Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"
2015-07-03 16:42:40 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:42:41 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:42:41 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:42:58 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:43:01 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:43:02 123.68.158.145  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:43:04 123.68.158.145  browse   danmaku.us Main.HomePage "" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:43:10 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
2015-07-03 16:43:11 123.68.158.145  browse   danmaku.us Main.HomePage "http://danmaku.us/uploads/Main" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/6.0; .NET4.0E; .NET4.0C; Tablet PC 2.0)"
